time,EUR_JPY_Bid,EUR_JPY_Ask,,time,GBP_JPY_Bid,GBP_JPY_Ask
95675,118.119,118.194,,80371,159.629,159.806
95687,118.127,118.189,,80381,159.35,159.575
95699,118.093,118.167,,80391,159.419,159.64
95712,118.09,118.157,,80401,159.459,159.671
95723,118.069,118.127,,80411,159.465,159.601
95734,118.049,118.114,,80421,159.475,159.616
95748,117.982,118.043,,80431,159.463,159.703
95758,117.892,117.951,,80442,159.524,159.692
95770,117.804,117.88,,80452,159.519,159.719
95780,117.855,117.938,,80463,159.56,159.753
95790,117.894,117.958,,80473,159.575,159.747
95800,117.989,118.074,,80483,159.636,159.822
95810,118.117,118.216,,80493,159.75,159.901
95820,117.888,117.976,,80503,159.756,159.949
95830,117.863,117.952,,80513,159.825,160.012
95840,117.854,117.934,,80523,159.791,159.984
95850,117.757,117.847,,80537,159.84,159.951
95866,117.783,117.865,,80547,159.869,160.003
95876,117.804,117.875,,80559,159.841,159.969
95886,117.883,117.977,,80570,159.799,159.923
95896,117.897,117.96,,80583,159.752,159.916
95907,117.867,117.941,,80593,159.751,159.897
95922,117.805,117.869,,80606,159.692,159.844
95932,117.793,117.864,,80620,159.759,159.925
95942,117.795,117.855,,80630,159.783,159.913
95954,117.706,117.778,,80646,159.778,159.895
95964,117.672,117.729,,80657,159.762,159.884
95974,117.688,117.736,,80667,159.769,159.896
95984,117.578,117.647,,80677,159.775,159.896
95995,117.637,117.734,,80687,159.747,159.866
96007,117.614,117.689,,80698,159.687,159.834
96019,117.613,117.681,,80709,159.724,159.869
96029,117.619,117.68,,80719,159.709,159.838
96040,117.597,117.67,,80730,159.754,159.861
96053,117.637,117.708,,80740,159.718,159.834
96063,117.648,117.73,,80750,159.74,159.832
96075,117.636,117.711,,80762,159.73,159.87
96087,117.739,117.811,,80775,159.752,159.905
96097,117.694,117.76,,80786,159.764,159.921
96117,117.703,117.752,,80796,159.802,159.946
96132,117.729,117.797,,80806,159.827,160.01
96143,117.763,117.839,,80818,159.86,159.994
96157,117.773,117.853,,80830,159.88,160.028
96168,117.777,117.831,,80844,159.866,160.043
96178,117.783,117.845,,80856,159.874,160.011
96188,117.738,117.799,,80868,159.89,160.054
96199,117.706,117.775,,80881,159.892,160.039
96209,117.714,117.77,,80891,159.99,160.139
96219,117.684,117.728,,80901,160.008,160.171
96238,117.647,117.691,,80912,159.911,160.113
96250,117.692,117.752,,80922,159.933,160.119
96260,117.71,117.766,,80932,160.034,160.226
96270,117.726,117.773,,80942,159.901,160.112
96286,117.707,117.765,,80952,159.942,160.163
96296,117.706,117.753,,80968,159.987,160.245
96306,117.697,117.74,,80978,159.948,160.175
96318,117.708,117.758,,80989,160,160.196
96328,117.715,117.762,,80999,160.031,160.201
96338,117.71,117.746,,81009,160.047,160.205
96348,117.668,117.722,,81019,160.024,160.187
96358,117.461,117.529,,81029,159.965,160.145
96368,117.474,117.536,,81039,159.906,160.097
96378,117.361,117.43,,81050,159.873,160.052
96388,116.961,117.029,,81062,159.821,159.993
96398,116.946,117.032,,81074,159.834,159.994
96408,117.059,117.152,,81085,159.86,160.024
96418,117.347,117.43,,81097,159.855,160.034
96429,117.282,117.36,,81110,159.845,160.007
96439,117.272,117.349,,81121,159.85,160.011
96449,117.287,117.358,,81133,159.872,160.037
96459,117.096,117.171,,81152,159.797,159.938
96469,117.145,117.222,,81162,159.759,159.917
96479,117.179,117.281,,81172,159.731,159.894
96489,117.101,117.203,,81183,159.796,159.977
96499,117.248,117.349,,81193,159.776,159.966
96511,117.228,117.321,,81203,159.786,159.939
96521,117.272,117.363,,81213,159.79,159.936
96531,117.31,117.403,,81227,159.809,159.952
96541,117.299,117.394,,81244,159.831,159.962
96552,117.163,117.237,,81257,159.848,159.999
96562,117.102,117.182,,81267,159.88,160.02
96572,117.039,117.121,,81280,159.905,160.064
96582,116.877,116.96,,81295,159.882,160.05
96592,116.858,116.951,,81311,159.903,160.064
96605,116.952,117.033,,81321,159.868,160.033
96615,116.963,117.046,,81331,159.901,160.068
96625,116.986,117.062,,81344,159.885,160.05
96636,116.964,117.029,,81354,159.89,160.069
96646,116.928,117.005,,81365,159.917,160.067
96656,116.711,116.798,,81376,159.935,160.074
96666,116.581,116.677,,81386,159.627,160.017
96676,116.729,116.824,,81396,159.519,159.712
96687,116.739,116.823,,81406,159.552,159.716
96697,116.833,116.922,,81416,159.585,159.78
96707,116.762,116.85,,81426,159.58,159.743
96718,116.728,116.787,,81436,159.489,159.708
96728,116.716,116.783,,81446,159.508,159.656
96740,116.752,116.834,,81457,159.536,159.729
96750,116.532,116.61,,81467,159.526,159.703
96760,116.314,116.415,,81477,159.534,159.69
96770,116.32,116.407,,81487,159.538,159.689
96780,116.435,116.526,,81497,159.49,159.613
96790,116.484,116.559,,81515,159.467,159.586
96801,116.424,116.469,,81525,159.406,159.538
96811,116.458,116.549,,81535,159.254,159.442
96821,116.382,116.423,,81545,159.241,159.39
96831,116.357,116.445,,81555,159.219,159.365
96841,116.335,116.413,,81566,159.289,159.434
96851,116.334,116.405,,81576,159.464,159.624
96861,116.552,116.607,,81586,159.46,159.592
96871,116.558,116.629,,81596,159.375,159.54
96881,116.598,116.677,,81606,159.385,159.523
96891,116.576,116.663,,81617,159.393,159.538
96901,116.558,116.64,,81627,159.305,159.487
96911,116.58,116.67,,81637,159.302,159.482
96921,116.567,116.654,,81647,159.325,159.502
96932,116.574,116.644,,81657,159.297,159.473
96942,116.625,116.702,,81668,159.344,159.472
96952,116.564,116.644,,81680,159.335,159.482
96962,116.503,116.587,,81691,159.306,159.452
96973,116.498,116.579,,81702,159.32,159.452
96983,116.487,116.559,,81713,159.309,159.438
96993,116.537,116.631,,81723,159.351,159.503
97003,116.446,116.523,,81733,159.373,159.513
97013,116.533,116.612,,81744,159.383,159.524
97025,116.535,116.601,,81754,159.433,159.553
97035,116.485,116.551,,81764,159.388,159.528
97046,116.494,116.572,,81784,159.368,159.508
97056,116.456,116.527,,81794,159.361,159.476
97066,116.228,116.296,,81804,159.364,159.474
97076,116.148,116.215,,81814,159.366,159.482
97086,116.097,116.179,,81824,159.332,159.456
97096,116.226,116.323,,81836,159.351,159.487
97106,116.137,116.216,,81846,159.385,159.499
97116,116.131,116.208,,81856,159.397,159.518
97126,116.111,116.179,,81866,159.396,159.525
97136,116.188,116.286,,81878,159.388,159.478
97151,116.189,116.267,,81889,159.292,159.448
97161,116.346,116.424,,81905,159.306,159.415
97171,116.301,116.38,,81915,159.312,159.428
97182,116.276,116.354,,81939,159.261,159.386
97192,116.244,116.321,,81949,159.241,159.355
97203,116.21,116.282,,81959,159.307,159.412
97216,116.192,116.254,,81969,159.313,159.401
97226,116.191,116.258,,81982,159.326,159.416
97236,116.004,116.086,,81997,159.316,159.418
97246,115.813,115.895,,82014,159.273,159.412
97256,115.755,115.857,,82024,159.284,159.434
97266,115.661,115.763,,82034,159.328,159.432
97276,115.773,115.875,,82044,159.349,159.445
97286,115.821,115.923,,82054,159.354,159.46
97296,115.699,115.786,,82064,159.363,159.469
97306,115.713,115.801,,82074,159.374,159.477
97316,115.594,115.668,,82085,159.365,159.487
97326,115.416,115.496,,82095,159.378,159.479
97336,115.44,115.534,,82105,159.376,159.488
97346,115.381,115.47,,82115,159.39,159.507
97356,115.516,115.615,,82125,159.367,159.462
97366,115.597,115.684,,82137,159.454,159.549
97376,115.769,115.866,,82150,159.467,159.575
97386,115.784,115.85,,82167,159.481,159.58
97397,115.772,115.846,,82177,159.482,159.593
97407,115.712,115.809,,82189,159.492,159.587
97417,115.591,115.657,,82199,159.544,159.653
97427,115.511,115.613,,82210,159.527,159.651
97437,115.474,115.576,,82221,159.449,159.576
97449,115.526,115.613,,82231,159.465,159.592
97459,115.492,115.583,,82241,159.492,159.599
97470,115.355,115.444,,82252,159.489,159.6
97480,115.554,115.64,,82262,159.522,159.645
97490,115.435,115.53,,82277,159.511,159.632
97500,115.242,115.332,,82289,159.492,159.606
97510,115.263,115.34,,82301,159.498,159.617
97520,115.241,115.335,,82312,159.498,159.608
97530,115.244,115.322,,82323,159.478,159.602
97540,115.145,115.223,,82333,159.491,159.61
97550,115.256,115.313,,82344,159.494,159.624
97560,115.391,115.493,,82355,159.466,159.587
97570,115.479,115.577,,82365,159.436,159.551
97580,115.475,115.569,,82375,159.404,159.53
97590,115.605,115.698,,82385,159.405,159.528
97600,115.652,115.741,,82395,159.406,159.526
97610,115.662,115.742,,82405,159.409,159.524
97620,115.65,115.736,,82415,159.409,159.523
97630,115.714,115.79,,82429,159.4,159.523
97641,115.969,116.046,,82441,159.412,159.544
97651,116.098,116.192,,82454,159.403,159.536
97661,116.119,116.206,,82465,159.433,159.561
97671,116.017,116.103,,82476,159.415,159.536
97681,115.86,115.958,,82495,159.372,159.503
97691,115.883,115.953,,82507,159.359,159.489
97701,115.813,115.874,,82518,159.351,159.478
97711,115.667,115.742,,82528,159.334,159.468
97721,115.566,115.633,,82538,159.281,159.401
97731,115.284,115.386,,82548,159.27,159.385
97742,115.487,115.562,,82558,159.17,159.3
97753,115.34,115.413,,82568,159.116,159.246
97763,115.226,115.305,,82580,159.099,159.236
97773,115.352,115.427,,82591,159.127,159.261
97784,115.477,115.53,,82606,159.125,159.263
97794,115.645,115.736,,82616,159.022,159.162
97804,115.738,115.817,,82626,158.997,159.136
97814,115.786,115.85,,82636,158.991,159.124
97824,115.758,115.832,,82646,158.998,159.135
97834,115.697,115.788,,82656,159.028,159.167
97844,115.687,115.746,,82666,159.079,159.224
97854,115.599,115.679,,82676,159.073,159.21
97864,115.575,115.671,,82688,159.051,159.159
97875,115.626,115.705,,82702,159.039,159.163
97886,115.693,115.778,,82713,158.99,159.155
97896,115.792,115.874,,82723,159.032,159.184
97906,115.616,115.716,,82733,159.069,159.21
97916,115.609,115.696,,82744,159.101,159.225
97927,115.692,115.773,,82756,159.075,159.212
97937,115.779,115.853,,82767,159.087,159.218
97947,115.799,115.874,,82777,159.075,159.207
97957,115.78,115.841,,82787,159.1,159.235
97967,115.724,115.795,,82797,159.07,159.199
97978,115.682,115.784,,82807,159.081,159.2
97988,115.738,115.8,,82819,159.078,159.231
97998,115.701,115.765,,82829,159.073,159.223
98008,115.62,115.688,,82840,159.091,159.26
98018,115.538,115.602,,82853,159.159,159.316
98028,115.453,115.52,,82864,159.164,159.304
98039,115.494,115.564,,82877,159.189,159.329
98049,115.575,115.658,,82890,159.263,159.379
98060,115.435,115.498,,82900,159.332,159.459
98070,115.528,115.6,,82910,159.382,159.506
98080,115.526,115.606,,82920,159.341,159.464
98090,115.435,115.53,,82930,159.333,159.444
98100,115.232,115.318,,82941,159.349,159.463
98110,115.148,115.245,,82952,159.351,159.475
98120,115.087,115.164,,82962,159.363,159.487
98130,115.066,115.151,,82972,159.379,159.507
98140,114.996,115.071,,82983,159.372,159.485
